match_id,date,league,turn,team_1,team_2,goals_1,goals_2,winner,possession_1,possession_2,goal_chances_1,goal_chances_2,shots_on_target_1,shots_on_target_2,shots_off_target_1,shots_off_target_2,offsides_1,offsides_2,goalkeeper_saves_1,goalkeeper_saves_2,fouls_1,fouls_2,attacks_1,attacks_2,dangerous_attacks_1,dangerous_attacks_2,red_cards_1,red_cards_2,bet_1,bet_x,bet_2,team_1_formation,team_2_formation,month,day_of_week,shots_1,shots_2,player_0_team_1,player_0_team_2,player_1_team_1,player_1_team_2,player_2_team_1,player_2_team_2,player_3_team_1,player_3_team_2,player_4_team_1,player_4_team_2,player_5_team_1,player_5_team_2,player_6_team_1,player_6_team_2,player_7_team_1,player_7_team_2,player_8_team_1,player_8_team_2,player_9_team_1,player_9_team_2,player_10_team_1,player_10_team_2
I9bpO24b,2022-04-17 17:00:00,Tipico Bundesliga,27.0,Wolfsberger,A. Klagenfurt,1.0,2.0,2.0,65,35,15.0,13.0,5.0,4.0,7.0,7.0,2.0,1.0,2.0,4.0,7.0,18.0,104.0,0.0,47.0,0.0,0.0,0.0,1.44,4.9,6.6,4 - 3 - 1 - 2,4 - 3 - 3,4,6,12.0,11.0,6.3,7.2,6.9,7.5,6.1,7.9,7.0,7.0,6.5,7.0,6.2,7.3,6.4,6.7,6.9,7.3,7.9,8.0,6.7,7.4,6.4,7.3
KOusPrkh,2022-04-17 14:30:00,Tipico Bundesliga,27.0,Austria Wiedeń,RB Salzburg,1.0,2.0,2.0,50,50,7.0,13.0,2.0,3.0,2.0,5.0,1.0,0.0,1.0,1.0,9.0,13.0,102.0,130.0,59.0,64.0,0.0,0.0,6.2,4.2,1.54,3 - 4 - 3,4 - 3 - 1 - 2,4,6,4.0,8.0,5.7,6.4,6.3,6.7,6.7,7.5,6.4,7.5,6.7,6.8,6.3,6.8,7.0,7.0,7.0,7.7,6.7,7.5,6.0,8.0,6.8,6.3
x0jxQOZo,2022-04-17 14:30:00,Tipico Bundesliga,27.0,Sturm Graz,Rapid Wiedeń,2.0,1.0,1.0,35,65,11.0,10.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,23.0,6.0,130.0,0.0,55.5,0.0,0.0,0.0,1.95,3.6,3.85,4 - 3 - 1 - 2,4 - 2 - 3 - 1,4,6,9.0,6.0,6.7,6.6,6.6,6.4,7.5,6.8,7.4,6.5,7.3,6.7,6.6,0.0,7.3,6.9,7.0,6.5,7.7,7.3,8.2,8.0,7.4,6.6
Ec9tljOK,2022-04-16 17:00:00,Tipico Bundesliga,27.0,Altach,LASK,0.0,0.0,0.0,38,62,6.0,20.0,3.0,5.0,2.0,8.0,2.0,1.0,5.0,3.0,15.0,14.0,96.0,126.0,42.0,65.0,0.0,0.0,5.4,4.1,1.6,4 - 3 - 3,4 - 3 - 3,4,5,5.0,13.0,7.6,7.0,7.5,7.2,6.8,7.3,7.4,7.1,6.7,7.8,7.2,6.9,6.9,6.5,7.1,6.9,6.2,7.0,6.3,6.5,7.0,6.7
S0DpmAwR,2022-04-16 17:00:00,Tipico Bundesliga,27.0,Hartberg,Admira,1.0,2.0,2.0,62,38,11.0,12.0,7.0,2.0,3.0,3.0,0.0,2.0,0.0,6.0,16.0,15.0,98.0,89.0,45.0,41.0,0.0,0.0,3.35,3.1,2.27,4 - 3 - 3,4 - 3 - 3,4,5,10.0,5.0,5.4,7.6,6.5,7.5,5.7,7.4,6.5,6.8,6.7,6.6,7.9,6.8,6.8,8.5,5.2,7.0,6.6,7.2,7.3,7.1,6.9,7.0
KzAxkW8E,2022-04-16 17:00:00,Tipico Bundesliga,27.0,Ried,Tirol,2.0,3.0,2.0,59,41,21.0,5.0,9.0,3.0,7.0,2.0,1.0,0.0,0.0,7.0,9.0,11.0,73.0,99.0,31.5,39.0,0.0,0.0,2.2,3.55,3.1,4 - 3 - 3,4 - 3 - 3,4,5,16.0,5.0,5.3,7.8,6.3,6.7,6.7,6.5,5.9,7.5,7.4,6.4,7.8,6.3,6.6,7.4,7.4,9.0,7.0,7.5,6.6,7.6,6.7,6.7
b9iYQ4Ku,2022-04-10 17:00:00,Tipico Bundesliga,26.0,Sturm Graz,Austria Wiedeń,1.0,0.0,1.0,54,46,18.0,4.0,4.0,2.0,10.0,2.0,2.0,0.0,2.0,3.0,10.0,17.0,130.0,102.0,55.5,41.0,0.0,0.0,2.03,3.45,3.6,4 - 3 - 1 - 2,5 - 3 - 2,4,6,14.0,4.0,7.1,6.8,7.3,5.6,7.0,7.7,7.3,6.5,8.0,7.0,8.4,6.9,8.2,6.3,7.3,6.9,7.0,6.2,7.6,6.0,6.8,6.6
nyBS5LlU,2022-04-10 14:30:00,Tipico Bundesliga,26.0,A. Klagenfurt,RB Salzburg,0.0,6.0,2.0,34,66,6.0,23.0,1.0,11.0,2.0,7.0,0.0,2.0,5.0,1.0,9.0,12.0,0.0,130.0,0.0,64.0,1.0,0.0,16.0,7.8,1.16,4 - 3 - 3,4 - 3 - 1 - 2,4,6,3.0,18.0,5.8,7.0,5.8,7.2,5.9,7.8,5.2,9.2,5.4,7.5,6.3,7.5,6.2,7.7,4.1,8.3,6.0,8.7,6.0,5.5,6.1,6.8
8pCO61ZN,2022-04-10 14:30:00,Tipico Bundesliga,26.0,Rapid Wiedeń,Wolfsberger,2.0,1.0,1.0,47,53,17.0,21.0,6.0,6.0,7.0,8.0,0.0,1.0,5.0,4.0,15.0,4.0,0.0,110.0,0.0,50.0,0.0,0.0,2.18,3.5,3.25,4 - 2 - 3 - 1,4 - 3 - 1 - 2,4,6,13.0,14.0,7.5,6.5,7.9,7.2,6.9,7.2,7.0,7.0,7.0,7.0,7.2,8.4,7.4,6.9,8.4,7.2,6.3,7.3,7.3,6.4,7.5,7.3
fsjbRSG7,2022-04-09 17:00:00,Tipico Bundesliga,26.0,Admira,LASK,1.0,1.0,0.0,41,59,9.0,13.0,5.0,5.0,3.0,6.0,6.0,0.0,4.0,4.0,20.0,18.0,97.0,126.0,43.0,65.0,0.0,0.0,3.7,3.45,1.96,4 - 2 - 3 - 1,4 - 2 - 3 - 1,4,5,8.0,11.0,6.8,7.3,6.5,5.9,7.4,6.9,7.1,6.5,8.1,7.7,6.6,6.8,7.1,8.1,6.5,7.1,7.0,8.0,6.8,6.5,6.2,6.3
GjifS811,2022-04-09 17:00:00,Tipico Bundesliga,26.0,Ried,Hartberg,0.0,0.0,0.0,52,48,16.0,8.0,4.0,3.0,5.0,2.0,1.0,0.0,3.0,4.0,8.0,15.0,73.0,91.0,31.5,37.0,1.0,0.0,1.93,3.5,3.85,4 - 2 - 3 - 1,5 - 3 - 2,4,5,9.0,5.0,7.0,7.3,7.0,6.7,6.9,8.1,7.0,7.3,7.2,7.0,6.9,6.5,6.8,8.0,7.4,7.5,6.6,7.4,6.3,5.9,7.0,6.9
tpBYkCg8,2022-04-09 17:00:00,Tipico Bundesliga,26.0,Tirol,Altach,0.0,3.0,2.0,64,36,12.0,12.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,4.0,11.0,9.0,105.0,90.0,40.0,37.0,0.0,0.0,1.97,3.45,3.85,4 - 4 - 1 - 1,5 - 3 - 2,4,5,9.0,9.0,5.9,7.7,5.8,7.9,6.3,6.9,6.4,7.7,6.2,6.8,7.0,7.4,6.5,7.0,7.1,8.3,6.7,7.5,5.9,7.4,5.9,6.7
QLMJ7sKH,2022-04-03 17:00:00,Tipico Bundesliga,25.0,RB Salzburg,Rapid Wiedeń,2.0,1.0,1.0,61,39,17.0,6.0,7.0,2.0,8.0,2.0,2.0,2.0,1.0,5.0,16.0,14.0,144.0,0.0,73.0,0.0,0.0,0.0,1.34,5.4,8.6,4 - 3 - 1 - 2,4 - 3 - 3,4,6,15.0,4.0,6.2,6.9,6.8,6.1,7.4,7.2,7.8,6.2,6.9,6.7,7.0,6.1,7.0,6.1,7.3,6.5,7.6,6.6,6.9,7.4,7.8,6.5
IeJB93k5,2022-04-03 14:30:00,Tipico Bundesliga,25.0,Austria Wiedeń,A. Klagenfurt,1.0,1.0,0.0,66,34,16.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,1.0,5.0,5.0,18.0,102.0,0.0,59.0,0.0,0.0,0.0,1.48,4.6,6.4,4 - 2 - 3 - 1,4 - 3 - 3,4,6,12.0,5.0,6.4,7.4,6.7,6.9,7.3,7.0,7.8,7.4,7.2,6.6,7.1,7.0,7.4,7.2,6.9,6.8,6.7,6.4,7.1,6.4,7.5,7.2
